H|02-tie-dense|数据=02-tie-dense.json|页大小=4|排序=ppm:desc:last,zone:asc:first|轮数=1|扫描上限=12
P|1|1|start|4|1..4|210,201,202,205|扫描<=12
P|1|2|p1|4|5..8|206,209,203,204|扫描<=12
P|1|3|p2|4|9..12|207,208,211,212|扫描<=12
P|1|4|p3|4|13..16|222,213,214,217|扫描<=12
P|1|5|p4|4|17..20|218,221,215,216|扫描<=12
P|1|6|p5|4|21..24|219,220,223,224|扫描<=12
P|1|7|p6|4|25..28|234,225,226,229|扫描<=12
P|1|8|p7|4|29..32|230,233,227,228|扫描<=12
P|1|9|p8|4|33..36|231,232,235,236|扫描<=12
P|1|10|p9|0|-|-|扫描<=12
C|1|页数=10|行数=36|唯一=36|重复=0|缺失=0|结论=不重不漏
T|轮数=1|页数=10|行数=36|唯一=36|重复=0|缺失=0|结论=不重不漏
