H|04-deep|数据=04-deep.json|页大小=2|排序=ppm:desc:last,zone:asc:first|轮数=1|扫描上限=10
P|1|1|start|2|1..2|1321,4321|扫描<=10
P|1|2|p1|2|3..4|7321,10321|扫描<=10
P|1|3|p2|2|5..6|13321,16321|扫描<=10
P|1|4|p3|2|7..8|19321,2321|扫描<=10
P|1|5|p4|2|9..10|5321,8321|扫描<=10
P|1|6|p5|2|11..12|11321,14321|扫描<=10
P|1|7|p6|2|13..14|17321,321|扫描<=10
P|1|8|p7|2|15..16|3321,6321|扫描<=10
P|1|9|p8|2|17..18|9321,12321|扫描<=10
P|1|10|p9|2|19..20|15321,18321|扫描<=10
P|1|11|p10|2|21..22|2642,5642|扫描<=10
P|1|12|p11|2|23..24|8642,11642|扫描<=10
P|1|13|p12|2|25..26|14642,17642|扫描<=10
P|1|14|p13|2|27..28|642,3642|扫描<=10
P|1|15|p14|2|29..30|6642,9642|扫描<=10
P|1|16|p15|2|31..32|12642,15642|扫描<=10
P|1|17|p16|2|33..34|18642,1642|扫描<=10
P|1|18|p17|2|35..36|4642,7642|扫描<=10
P|1|19|p18|2|37..38|10642,13642|扫描<=10
P|1|20|p19|2|39..40|16642,19642|扫描<=10
P|1|21|p20|2|41..42|963,3963|扫描<=10
P|1|22|p21|2|43..44|6963,9963|扫描<=10
P|1|23|p22|2|45..46|12963,15963|扫描<=10
P|1|24|p23|2|47..48|18963,1963|扫描<=10
P|1|25|p24|2|49..50|4963,7963|扫描<=10
P|1|26|p25|2|51..52|10963,13963|扫描<=10
P|1|27|p26|2|53..54|16963,19963|扫描<=10
P|1|28|p27|2|55..56|2963,5963|扫描<=10
P|1|29|p28|2|57..58|8963,11963|扫描<=10
P|1|30|p29|2|59..60|14963,17963|扫描<=10
P|1|31|p30|2|61..62|1284,4284|扫描<=10
P|1|32|p31|2|63..64|7284,10284|扫描<=10
P|1|33|p32|2|65..66|13284,16284|扫描<=10
P|1|34|p33|2|67..68|19284,2284|扫描<=10
P|1|35|p34|2|69..70|5284,8284|扫描<=10
P|1|36|p35|2|71..72|11284,14284|扫描<=10
P|1|37|p36|2|73..74|17284,284|扫描<=10
P|1|38|p37|2|75..76|3284,6284|扫描<=10
P|1|39|p38|2|77..78|9284,12284|扫描<=10
P|1|40|p39|2|79..80|15284,18284|扫描<=10
P|1|41|p40|2|81..82|2605,5605|扫描<=10
P|1|42|p41|2|83..84|8605,11605|扫描<=10
P|1|43|p42|2|85..86|14605,17605|扫描<=10
P|1|44|p43|2|87..88|605,3605|扫描<=10
P|1|45|p44|2|89..90|6605,9605|扫描<=10
P|1|46|p45|2|91..92|12605,15605|扫描<=10
P|1|47|p46|2|93..94|18605,1605|扫描<=10
P|1|48|p47|2|95..96|4605,7605|扫描<=10
P|1|49|p48|2|97..98|10605,13605|扫描<=10
P|1|50|p49|2|99..100|16605,19605|扫描<=10
P|1|51|p50|2|101..102|926,3926|扫描<=10
P|1|52|p51|2|103..104|6926,9926|扫描<=10
P|1|53|p52|2|105..106|12926,15926|扫描<=10
P|1|54|p53|2|107..108|18926,1926|扫描<=10
P|1|55|p54|2|109..110|4926,7926|扫描<=10
P|1|56|p55|2|111..112|10926,13926|扫描<=10
P|1|57|p56|2|113..114|16926,19926|扫描<=10
P|1|58|p57|2|115..116|2926,5926|扫描<=10
P|1|59|p58|2|117..118|8926,11926|扫描<=10
P|1|60|p59|2|119..120|14926,17926|扫描<=10
P|1|61|p60|2|121..122|2247,5247|扫描<=10
P|1|62|p61|2|123..124|8247,11247|扫描<=10
P|1|63|p62|2|125..126|14247,17247|扫描<=10
P|1|64|p63|2|127..128|247,3247|扫描<=10
P|1|65|p64|2|129..130|6247,9247|扫描<=10
P|1|66|p65|2|131..132|12247,15247|扫描<=10
P|1|67|p66|2|133..134|18247,1247|扫描<=10
P|1|68|p67|2|135..136|4247,7247|扫描<=10
P|1|69|p68|2|137..138|10247,13247|扫描<=10
P|1|70|p69|2|139..140|16247,19247|扫描<=10
P|1|71|p70|2|141..142|2568,5568|扫描<=10
P|1|72|p71|2|143..144|8568,11568|扫描<=10
P|1|73|p72|2|145..146|14568,17568|扫描<=10
P|1|74|p73|2|147..148|568,3568|扫描<=10
P|1|75|p74|2|149..150|6568,9568|扫描<=10
P|1|76|p75|2|151..152|12568,15568|扫描<=10
P|1|77|p76|2|153..154|18568,1568|扫描<=10
P|1|78|p77|2|155..156|4568,7568|扫描<=10
P|1|79|p78|2|157..158|10568,13568|扫描<=10
P|1|80|p79|2|159..160|16568,19568|扫描<=10
P|1|81|p80|2|161..162|889,3889|扫描<=10
P|1|82|p81|2|163..164|6889,9889|扫描<=10
P|1|83|p82|2|165..166|12889,15889|扫描<=10
P|1|84|p83|2|167..168|18889,1889|扫描<=10
P|1|85|p84|2|169..170|4889,7889|扫描<=10
P|1|86|p85|2|171..172|10889,13889|扫描<=10
P|1|87|p86|2|173..174|16889,19889|扫描<=10
P|1|88|p87|2|175..176|2889,5889|扫描<=10
P|1|89|p88|2|177..178|8889,11889|扫描<=10
P|1|90|p89|2|179..180|14889,17889|扫描<=10
P|1|91|p90|2|181..182|2210,5210|扫描<=10
P|1|92|p91|2|183..184|8210,11210|扫描<=10
P|1|93|p92|2|185..186|14210,17210|扫描<=10
P|1|94|p93|2|187..188|210,3210|扫描<=10
P|1|95|p94|2|189..190|6210,9210|扫描<=10
P|1|96|p95|2|191..192|12210,15210|扫描<=10
P|1|97|p96|2|193..194|18210,1210|扫描<=10
P|1|98|p97|2|195..196|4210,7210|扫描<=10
P|1|99|p98|2|197..198|10210,13210|扫描<=10
P|1|100|p99|2|199..200|16210,19210|扫描<=10
P|1|101|p100|2|201..202|531,3531|扫描<=10
P|1|102|p101|2|203..204|6531,9531|扫描<=10
P|1|103|p102|2|205..206|12531,15531|扫描<=10
P|1|104|p103|2|207..208|18531,1531|扫描<=10
P|1|105|p104|2|209..210|4531,7531|扫描<=10
P|1|106|p105|2|211..212|10531,13531|扫描<=10
P|1|107|p106|2|213..214|16531,19531|扫描<=10
P|1|108|p107|2|215..216|2531,5531|扫描<=10
P|1|109|p108|2|217..218|8531,11531|扫描<=10
P|1|110|p109|2|219..220|14531,17531|扫描<=10
P|1|111|p110|2|221..222|852,3852|扫描<=10
P|1|112|p111|2|223..224|6852,9852|扫描<=10
P|1|113|p112|2|225..226|12852,15852|扫描<=10
P|1|114|p113|2|227..228|18852,1852|扫描<=10
P|1|115|p114|2|229..230|4852,7852|扫描<=10
P|1|116|p115|2|231..232|10852,13852|扫描<=10
P|1|117|p116|2|233..234|16852,19852|扫描<=10
P|1|118|p117|2|235..236|2852,5852|扫描<=10
P|1|119|p118|2|237..238|8852,11852|扫描<=10
P|1|120|p119|2|239..240|14852,17852|扫描<=10
P|1|121|p120|2|241..242|2173,5173|扫描<=10
P|1|122|p121|2|243..244|8173,11173|扫描<=10
P|1|123|p122|2|245..246|14173,17173|扫描<=10
P|1|124|p123|2|247..248|173,3173|扫描<=10
P|1|125|p124|2|249..250|6173,9173|扫描<=10
P|1|126|p125|2|251..252|12173,15173|扫描<=10
P|1|127|p126|2|253..254|18173,1173|扫描<=10
P|1|128|p127|2|255..256|4173,7173|扫描<=10
P|1|129|p128|2|257..258|10173,13173|扫描<=10
P|1|130|p129|2|259..260|16173,19173|扫描<=10
P|1|131|p130|2|261..262|494,3494|扫描<=10
P|1|132|p131|2|263..264|6494,9494|扫描<=10
P|1|133|p132|2|265..266|12494,15494|扫描<=10
P|1|134|p133|2|267..268|18494,1494|扫描<=10
P|1|135|p134|2|269..270|4494,7494|扫描<=10
P|1|136|p135|2|271..272|10494,13494|扫描<=10
P|1|137|p136|2|273..274|16494,19494|扫描<=10
P|1|138|p137|2|275..276|2494,5494|扫描<=10
P|1|139|p138|2|277..278|8494,11494|扫描<=10
P|1|140|p139|2|279..280|14494,17494|扫描<=10
P|1|141|p140|2|281..282|1815,4815|扫描<=10
P|1|142|p141|2|283..284|7815,10815|扫描<=10
P|1|143|p142|2|285..286|13815,16815|扫描<=10
P|1|144|p143|2|287..288|19815,2815|扫描<=10
P|1|145|p144|2|289..290|5815,8815|扫描<=10
P|1|146|p145|2|291..292|11815,14815|扫描<=10
P|1|147|p146|2|293..294|17815,815|扫描<=10
P|1|148|p147|2|295..296|3815,6815|扫描<=10
P|1|149|p148|2|297..298|9815,12815|扫描<=10
P|1|150|p149|2|299..300|15815,18815|扫描<=10
P|1|151|p150|2|301..302|2136,5136|扫描<=10
P|1|152|p151|2|303..304|8136,11136|扫描<=10
P|1|153|p152|2|305..306|14136,17136|扫描<=10
P|1|154|p153|2|307..308|136,3136|扫描<=10
P|1|155|p154|2|309..310|6136,9136|扫描<=10
P|1|156|p155|2|311..312|12136,15136|扫描<=10
P|1|157|p156|2|313..314|18136,1136|扫描<=10
P|1|158|p157|2|315..316|4136,7136|扫描<=10
P|1|159|p158|2|317..318|10136,13136|扫描<=10
P|1|160|p159|2|319..320|16136,19136|扫描<=10
P|1|161|p160|2|321..322|457,3457|扫描<=10
P|1|162|p161|2|323..324|6457,9457|扫描<=10
P|1|163|p162|2|325..326|12457,15457|扫描<=10
P|1|164|p163|2|327..328|18457,1457|扫描<=10
P|1|165|p164|2|329..330|4457,7457|扫描<=10
P|1|166|p165|2|331..332|10457,13457|扫描<=10
P|1|167|p166|2|333..334|16457,19457|扫描<=10
P|1|168|p167|2|335..336|2457,5457|扫描<=10
P|1|169|p168|2|337..338|8457,11457|扫描<=10
P|1|170|p169|2|339..340|14457,17457|扫描<=10
P|1|171|p170|2|341..342|1778,4778|扫描<=10
P|1|172|p171|2|343..344|7778,10778|扫描<=10
P|1|173|p172|2|345..346|13778,16778|扫描<=10
P|1|174|p173|2|347..348|19778,2778|扫描<=10
P|1|175|p174|2|349..350|5778,8778|扫描<=10
P|1|176|p175|2|351..352|11778,14778|扫描<=10
P|1|177|p176|2|353..354|17778,778|扫描<=10
P|1|178|p177|2|355..356|3778,6778|扫描<=10
P|1|179|p178|2|357..358|9778,12778|扫描<=10
P|1|180|p179|2|359..360|15778,18778|扫描<=10
P|1|181|p180|2|361..362|99,3099|扫描<=10
P|1|182|p181|2|363..364|6099,9099|扫描<=10
P|1|183|p182|2|365..366|12099,15099|扫描<=10
P|1|184|p183|2|367..368|18099,1099|扫描<=10
